"title","publisher","source_type","content_group","evidence_years","url","used_for_statuses","link_status","verification_method","http_status","verified_on","resolved_url"
"Zambia COVID-19 Emergency Response and Health Systems Preparedness Project—Implementation Support Mission Aide Memoire","World Bank","Primary or supporting source","Formal reports and assessments","2024","https://documents1.worldbank.org/curated/en/099041525154542789/pdf/P174185-60c78f6e-0c6b-4657-a920-653140fb63ad.pdf","actual; capacity; derived","verified","automated","200","2026-07-17","https://documents1.worldbank.org/curated/en/099041525154542789/pdf/P174185-60c78f6e-0c6b-4657-a920-653140fb63ad.pdf"
"Zambia National Medical Oxygen Strategic Plan 2022–2026","Zambia Ministry of Health","National strategy","National plans and government records","2022–2026","https://stoppneumonia.org/wp-content/uploads/2023/05/Zambia-National-Medical-Oxygen-Strategy-2022-2026.pdf","","verified","automated","206","2026-07-17","https://stoppneumonia.org/wp-content/uploads/2023/05/Zambia-National-Medical-Oxygen-Strategy-2022-2026.pdf"
"Access to Medical Oxygen Report","accesstomedicinefoundation.org","Primary or supporting source","Formal reports and assessments","2021","https://accesstomedicinefoundation.org/medialibrary/access-to-medical-oxygen-report_atmf_2023.pdf","actual","verified","automated","206","2026-07-17","https://accesstomedicinefoundation.org/medialibrary/access-to-medical-oxygen-report_atmf_2023.pdf"
"British High Commission statement reproduced by News Diggers","diggers.news","Primary or supporting source","News and social posts","2021","https://diggers.news/local/2021/07/22/uk-procures-9000-oxygen-cylinders-for-zambia/","actual","verified","automated","200","2026-07-17","https://diggers.news/local/2021/07/22/uk-procures-9000-oxygen-cylinders-for-zambia/"
"Kasama oxygen-plant groundbreaking report","efficacynews.africa","Primary or supporting source","News and social posts","2024","https://efficacynews.africa/2024/05/13/minister-of-health-leads-groundbreaking-ceremony-for-oxygen-plant-construction-at-kasama-general-hospital/","context","verified","automated","200","2026-07-17","https://efficacynews.africa/2024/05/13/minister-of-health-leads-groundbreaking-ceremony-for-oxygen-plant-construction-at-kasama-general-hospital/"
"Oxygen for Zambian Hospital","inmatec.de","Primary or supporting source","Official programme, partner, and facility updates","2021","https://www.inmatec.de/en/news-stories-details/oxygen-for-zambian-hospital.html","capacity","verified","automated","200","2026-07-17","https://www.inmatec.de/en/news-stories-details/oxygen-for-zambian-hospital.html"
"Livingstone hospital oxygen-system implementation posts","linkedin.com","Primary or supporting source","News and social posts","2024","https://www.linkedin.com/posts/joseph-mphande-6242aa75_livingstoneuniversityteachinghospital-activity-7252621227847024641-V0re","actual","verified","automated","200","2026-07-17","https://www.linkedin.com/posts/joseph-mphande-6242aa75_livingstoneuniversityteachinghospital-activity-7252621227847024641-V0re"
"National Oxygen Coordinator commissioning post","linkedin.com","Primary or supporting source","News and social posts","2024","https://www.linkedin.com/posts/joseph-mphande-6242aa75_today-marks-a-significant-advancement-in-activity-7270507135090749441-5tH2","capacity","verified","automated","200","2026-07-17","https://www.linkedin.com/posts/joseph-mphande-6242aa75_today-marks-a-significant-advancement-in-activity-7270507135090749441-5tH2"
"Government procures 8,000 oxygen cylinders for distribution","lusakatimes.com","Primary or supporting source","News and social posts","2023","https://www.lusakatimes.com/2023/03/07/government-procures-8000-oxygen-cylinders-for-distribution-to-various-health-facilities-across-the-country/","context","verified","automated","200","2026-07-17","https://www.lusakatimes.com/2023/03/07/government-procures-8000-oxygen-cylinders-for-distribution-to-various-health-facilities-across-the-country/"
"USAID DISCOVER-Health FY2022 Q1 Executive Summary","publications.jsi.com","Primary or supporting source","Formal reports and assessments","2021","https://publications.jsi.com/JSIInternet/Inc/Common/_download_pub.cfm?id=24991&lid=3","actual","verified","automated","200","2026-07-17","https://publications.jsi.com/JSIInternet/Inc/Common/_download_pub.cfm?id=24991&lid=3"
"Predictors of mortality in acute hospitalised COVID-19 pneumonia patients","scielo.org.za","Primary or supporting source","Academic research","2021","https://scielo.org.za/scielo.php?pid=S0256-95742022000400008&script=sci_arttext","actual","verified","automated","200","2026-07-17","https://scielo.org.za/scielo.php?pid=S0256-95742022000400008&script=sci_arttext"
"St Francis Hospital Annual Report 2023","supportstfrancishospital.org","Primary or supporting source","Formal reports and assessments","2023","https://www.supportstfrancishospital.org/wp-content/uploads/2024/06/SFH-Annual-report-2023.pdf","actual","verified","automated","206","2026-07-17","https://www.supportstfrancishospital.org/wp-content/uploads/2024/06/SFH-Annual-report-2023.pdf"
"St Francis Hospital oxygen-generator project","supportstfrancishospital.org","Primary or supporting source","Official programme, partner, and facility updates","2021","https://www.supportstfrancishospital.org/oxygen-plant-at-st-francis-hospital/","actual","verified","automated","200","2026-07-17","https://www.supportstfrancishospital.org/oxygen-plant-at-st-francis-hospital/"
