"source_id","source_title","data_period_start","data_period_end","reference_year","geography","scope","domain","metric","value","value_text","unit","status","denominator","facility_level","source_reference","notes","quality_flag"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Tuberculosis","1134","1134","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Tuberculosis","954","954","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Tuberculosis","923","923","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Tuberculosis","810","810","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Anaemia","1493","1493","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Anaemia","1299","1299","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Anaemia","975","975","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Anaemia","825","825","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Anaemia","960","960","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Diarrhoea (non-bloody)","1281","1281","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Diarrhoea (non-bloody)","839","839","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Diarrhoea (non-bloody)","583","583","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Diarrhoea (non-bloody)","463","463","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Diarrhoea (non-bloody)","516","516","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Cardiovascular diseases","1268","1268","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Cardiovascular diseases","1014","1014","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Cardiovascular diseases","755","755","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Cardiovascular diseases","790","790","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Cardiovascular diseases","767","767","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Other disease","1057","1057","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Other disease","941","941","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Other disease","345","345","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Other disease","588","588","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Other disease","663","663","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Severe malnutrition","792","792","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Severe malnutrition","553","553","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Severe malnutrition","431","431","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Severe malnutrition","391","391","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Severe malnutrition","454","454","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Hypertension","739","739","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Hypertension","542","542","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Hypertension","517","517","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Hypertension","792","792","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Hypertension","675","675","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Digestive system (not infectious)","640","640","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Digestive system (not infectious)","504","504","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Digestive system (not infectious)","372","372","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Digestive system (not infectious)","364","364","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Digestive system (not infectious)","488","488","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National 2015–2019","Health burden","Reported 2015–2019 average deaths: Malaria","1586.6","1586.6","deaths/year","estimate","","","Table 2","","source_average"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National 2015–2019","Health burden","Reported 2015–2019 average deaths: Respiratory infection (pneumonia)","1168.6","1168.6","deaths/year","estimate","","","Table 2","","source_average"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National 2015–2019","Health burden","Reported 2015–2019 average deaths: Tuberculosis","1079.4","1079.4","deaths/year","estimate","","","Table 2","","source_average"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National 2015–2019","Health burden","Reported 2015–2019 average deaths: Anaemia","1110.4","1110.4","deaths/year","estimate","","","Table 2","","source_average"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National 2015–2019","Health burden","Reported 2015–2019 average deaths: Diarrhoea (non-bloody)","736.4","736.4","deaths/year","estimate","","","Table 2","","source_average"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National 2015–2019","Health burden","Reported 2015–2019 average deaths: Cardiovascular diseases","918.8","918.8","deaths/year","estimate","","","Table 2","","source_average"
